,all,omit AP,omit BR,omit HR,omit HP,omit KA,omit KL,omit MP,omit MH,omit PB,omit RJ,omit TN,omit WB
lower CI,3464361,3191457,3566434,3462419,3487702,3339069,3586196,3326133,3206915,3611598,3591178,3487812,3505706
median,3910297,3623923,4039343,3908287,3921092,3795392,4050629,3787702,3655991,4078642,4054925,3947158,3975091
upper CI,4387258,4116775,4562164,4395971,4401966,4310294,4547734,4293604,4146996,4589335,4570390,4461600,4503971
% variation lower,11.4041427032269,11.933642077936,11.7075675063454,11.4082590925716,11.0527921813617,12.0230706107657,11.4657081653244,12.1859906331056,12.2832704297235,11.4509706907348,11.4366186102849,11.6373907505096,11.8081575752804
% variation upper,12.197574762224,13.5999633546298,12.9432438571376,12.4782254320404,12.2637673382823,13.5665253505468,12.2722952410601,13.3564537754625,13.4301757622182,12.5211528739223,12.7120788562155,13.0332203575332,13.3048757003143
