,2018,2019,2020,2021
Jan,2322,2392,1975,1632
Feb,1940,2058,1802,1431
Mar,1764,2006,1527,1547
Apr,1564,1535,1070,2002
May,1777,1757,1267,2414
Jun,1602,1660,1242,
Jul,1811,1809,1389,
Aug,1957,2034,1465,
Sep,2069,1961,1605,
Oct,2228,1994,1601,
Nov,2108,2082,1659,
Dec,2086,2064,1613,
