,2018,2019,2020,2021
Jan,7289,28975,38329,45515
Feb,7872,27621,34015,38981
Mar,8196,28425,26682,29774
Apr,9635,23537,16866,33161
May,12495,26560,22893,68319
Jun,13899,30440,32656,
Jul,15926,31533,30534,
Aug,17933,34326,36355,
Sep ,20482,27897,39124,
Oct,22414,29168,31860,
Nov,22318,32088,30299,
Dec,24467,32598,47908,
