,2018,2019,2020,2021
January,55390,58405,58132,62273
February,47231,46560,48893,52845
March,46703,47772,45987,50959
April,43586,45913,41482,58775
May,43928,51639,50834,93573
June,43222,48868,50687,
July,42633,45762,60052,
August,41051,47385,70033,
September,40484,48621,65447,
October,46337,53028,60096,
November,51602,55658,52231,
December,34025,38610,40417,
