,2016,2017,2018,2019,2020,2021
January,4033,4455,4841,5470,5763,5879
February,3319,3613,4354,4628,5199,4749
March,3664,4035,4277,4851,4894,5090
April,3979,4016,4002,4708,3967,9465
May,3844,4526,4222,6000,5061,10858
June,3567,3669,3746,4707,7011,
July,4152,3954,4103,4808,10423,
August,4525,4220,4271,5620,7974,
September,3961,4525,4615,6048,7013,
October,4255,4650,4925,6117,6212,
November,4087,4427,4700,5466,5708,
December,4121,4603,4952,5689,5996,
