,2015,2016,2017,2018,2019,2020,2021
Jan,5471,5657,5807,5693,6129,5829,6166
Feb,4735,4777,4948,5285,5069,5272,5397
March,5004,4646,4975,5142,5366,4966,5627
April,4469,4636,4723,4772,4877,4104,6064
May,5087,5103,5710,5118,5731,6552,
June,4687,4652,4996,5117,6162,7814,
July,4522,4766,5249,5113,5096,6328,
Aug,4483,4712,5122,4782,5342,6783,
Sept,4460,4592,5704,4807,5392,7098,
Oct,4986,4529,5641,5603,5980,6713,
Nov,6014,4719,5545,5823,6056,6123,
Dec,6149,5403,5521,5703,5675,6736,
