,2019,2020,2021
Jan,68962,75773,103048
Feb,69809,50576,98047
March,63962,41683,70797
April,56583,20715,61986
May,55338,33543,
June,62657,59020,
July,63604,68382,
Aug,67811,78658,
Sep,69589,92947,
Oct,60004,90023,
Nov,66740,80981,
Dec,66324,99184,
