,2018,2019,2020,2021
Jan,15745,15565,15744,19137
Feb,12565,12990,14082,19281
Mar,12053,12423,12559,18514
Apr,11073,10802,6122,16386
May,11203,11153,7331,27890
Jun,11424,11531,14306,21968
Jul,10456,10956,13797,
Aug,11562,11754,11400,
Sep,12481,11550,14181,
Oct,12316,11639,12324,
Nov,11630,11492,15318,
Dec,13025,13429,16285,
