,2018,2019,2020,2021
Jan,17818,17638,19066,17858
Feb,14614,15268,15757,13950
Mar,14567,15316,14787,14908
Apr,13580,13658,12965,28276
May,14335,14630,15455,46108
Jun,14772,14946,15496,
Jul,13115,13486,15590,
Aug,13648,14871,15581,
Sep,14079,14861,17253,
Oct,15564,15003,16611,
Nov,15941,15527,20194,
Dec,16601,18591,19468,
