,2018,2019,2020,2021
January,33637,32302,31989,37947
February,28788,31170,26802,31887
March,27341,27972,25413,33311
April,25979,26290,22362,38878
May,24357,29928,28066,130887
June,27006,30201,28440,
July,26458,28465,34757,
August,27929,28667,54940,
September,26626,30447,55874,
October,28478,33631,42104,
November,26785,33201,38665,
December,29891,31140,39495,
