,2018,2019,2020,2021
Jan,20798,20239,21954,19622
Feb,18301,18089,18056,14860
Mar,18921,17784,16378,16084
Apr,18018,16651,17596,26251
May,19446,17603,20582,49046
Jun,17048,19766,17959,
Jul,15640,15656,17151,
Aug,16023,17569,17918,
Sep,15812,19291,18719,
Oct,17226,17924,18405,
Nov,17489,17794,21265,
Dec,21648,21448,23581,
