,2018,2019,2020,2021
Jan,44067,44476,52439,51745
Feb,32036,37050,44182,42479
Mar,29986,36797,36376,35659
Apr,25484,31733,32933,46816
May,27630,33102,36542,76183
Jun,27509,35373,37480,
Jul,27650,36793,44056,
Aug,29809,35742,47965,
Sep,31350,33254,46553,
Oct,33413,39812,56450,
Nov,34698,41958,46343,
Dec,41949,51471,57444,
