,2018,2019,2020,2021
Jan,4369,3990,4089,3878
Feb,3598,3794,3542,3215
Mar,3507,3701,3175,3051
Apr,3013,3009,2904,3769
May,3272,3021,3096,7267
Jun,3048,3285,3053,
Jul,2932,2945,2982,
Aug,2988,3176,3278,
Sep,3042,3174,3530,
Oct,3315,3330,3665,
Nov,3255,3495,4647,
Dec,3794,4050,4455,
