,2019,2020,2021
Jan,5168,5983,6012
Feb,5766,5454,5538
Mar,5400,4716,6216
Apr,4806,3327,6249
May,5899,4469,16249
Jun,4687,4881,
Jul,5278,6477,
Aug,5481,9340,
Sep,5411,8710,
Oct,5597,8413,
Nov,5982,7342,
Dec,5544,6329,
