,2015,2016,2017,2018,2019,2020
Jan,6354,6675,7102,8293,7862,7532
Feb,5616,5255,5710,6165,6536,6382
March,5290,5004,5584,5553,6169,5385
April,4581,5018,5137,4785,5146,4832
May,4891,4618,5547,4964,5300,5361
June,4441,4795,4798,5020,5372,4975
July,4739,5266,5350,4874,5338,6598
Aug,5272,5640,6285,5551,5069,6550
Sept,5404,5178,5702,5486,5027,6039
Oct,5188,5680,5857,5868,5814,6943
Nov,5153,5756,6195,5667,5821,7223
Dec,6025,6614,6894,7075,6619,7446
